id,type,category,category_ja,level,term_en,meaning_ja,example_en,tags
vocab_0046,vocabulary,incident_response,インシデント対応,beginner,incident commander,インシデント指揮官,This incident commander requires follow-up by Friday.,"[""incident_response"", ""beginner""]"
vocab_0047,vocabulary,incident_response,インシデント対応,lower_intermediate,war room,緊急対応会議室,The security team is checking the war room.,"[""incident_response"", ""lower_intermediate""]"
vocab_0048,vocabulary,incident_response,インシデント対応,intermediate,bridge call,緊急電話会議,The security team is checking the bridge call.,"[""incident_response"", ""intermediate""]"
vocab_0049,vocabulary,incident_response,インシデント対応,beginner,status update,状況報告,This status update requires follow-up by Friday.,"[""incident_response"", ""beginner""]"
vocab_0050,vocabulary,incident_response,インシデント対応,lower_intermediate,action item,対応事項,The security team is checking the action item.,"[""incident_response"", ""lower_intermediate""]"
vocab_0051,vocabulary,incident_response,インシデント対応,intermediate,owner,担当者,Please confirm the current owner.,"[""incident_response"", ""intermediate""]"
vocab_0052,vocabulary,incident_response,インシデント対応,beginner,deadline,期限,We should document the deadline clearly.,"[""incident_response"", ""beginner""]"
vocab_0053,vocabulary,incident_response,インシデント対応,lower_intermediate,evidence,証拠,We should document the evidence clearly.,"[""incident_response"", ""lower_intermediate""]"
vocab_0054,vocabulary,incident_response,インシデント対応,intermediate,chain of custody,証拠保全の記録,We need to review the chain of custody before the meeting.,"[""incident_response"", ""intermediate""]"
vocab_0055,vocabulary,incident_response,インシデント対応,beginner,forensic image,フォレンジックイメージ,The security team is checking the forensic image.,"[""incident_response"", ""beginner""]"
vocab_0056,vocabulary,incident_response,インシデント対応,lower_intermediate,indicator of compromise,侵害指標,Please confirm the current indicator of compromise.,"[""incident_response"", ""lower_intermediate""]"
vocab_0057,vocabulary,incident_response,インシデント対応,intermediate,compromise,侵害,The security team is checking the compromise.,"[""incident_response"", ""intermediate""]"
vocab_0058,vocabulary,incident_response,インシデント対応,beginner,post-incident review,事後レビュー,The security team is checking the post-incident review.,"[""incident_response"", ""beginner""]"
vocab_0059,vocabulary,incident_response,インシデント対応,lower_intermediate,communication plan,連絡計画,We should document the communication plan clearly.,"[""incident_response"", ""lower_intermediate""]"
vocab_0060,vocabulary,incident_response,インシデント対応,intermediate,stakeholder notification,関係者通知,Please confirm the current stakeholder notification.,"[""incident_response"", ""intermediate""]"
vocab_0061,vocabulary,phishing_email,フィッシング・メール,beginner,phishing,フィッシング,Please confirm the current phishing.,"[""phishing_email"", ""beginner""]"
vocab_0062,vocabulary,phishing_email,フィッシング・メール,lower_intermediate,spear phishing,標的型フィッシング,The security team is checking the spear phishing.,"[""phishing_email"", ""lower_intermediate""]"
vocab_0063,vocabulary,phishing_email,フィッシング・メール,intermediate,whaling,経営層向けフィッシング,We should document the whaling clearly.,"[""phishing_email"", ""intermediate""]"
vocab_0064,vocabulary,phishing_email,フィッシング・メール,beginner,business email compromise,ビジネスメール詐欺,We should document the business email compromise clearly.,"[""phishing_email"", ""beginner""]"
vocab_0065,vocabulary,phishing_email,フィッシング・メール,lower_intermediate,malicious attachment,悪意ある添付ファイル,The malicious attachment may affect the incident response plan.,"[""phishing_email"", ""lower_intermediate""]"
vocab_0066,vocabulary,phishing_email,フィッシング・メール,intermediate,malicious link,悪意あるリンク,We should document the malicious link clearly.,"[""phishing_email"", ""intermediate""]"
vocab_0067,vocabulary,phishing_email,フィッシング・メール,beginner,sender,送信者,We need to review the sender before the meeting.,"[""phishing_email"", ""beginner""]"
vocab_0068,vocabulary,phishing_email,フィッシング・メール,lower_intermediate,recipient,受信者,We should document the recipient clearly.,"[""phishing_email"", ""lower_intermediate""]"
vocab_0069,vocabulary,phishing_email,フィッシング・メール,intermediate,spoofing,なりすまし,The security team is checking the spoofing.,"[""phishing_email"", ""intermediate""]"
vocab_0070,vocabulary,phishing_email,フィッシング・メール,beginner,impersonation,なりすまし,The impersonation may affect the incident response plan.,"[""phishing_email"", ""beginner""]"
vocab_0071,vocabulary,phishing_email,フィッシング・メール,lower_intermediate,quarantine,隔離,The quarantine may affect the incident response plan.,"[""phishing_email"", ""lower_intermediate""]"
vocab_0072,vocabulary,phishing_email,フィッシング・メール,intermediate,email gateway,メールゲートウェイ,The security team is checking the email gateway.,"[""phishing_email"", ""intermediate""]"
vocab_0073,vocabulary,phishing_email,フィッシング・メール,beginner,mail header,メールヘッダー,This mail header requires follow-up by Friday.,"[""phishing_email"", ""beginner""]"
vocab_0074,vocabulary,phishing_email,フィッシング・メール,lower_intermediate,header analysis,メールヘッダー分析,We should document the header analysis clearly.,"[""phishing_email"", ""lower_intermediate""]"
vocab_0075,vocabulary,phishing_email,フィッシング・メール,intermediate,domain reputation,ドメイン評価,This domain reputation requires follow-up by Friday.,"[""phishing_email"", ""intermediate""]"
vocab_0076,vocabulary,phishing_email,フィッシング・メール,beginner,URL reputation,URL評価,We should document the URL reputation clearly.,"[""phishing_email"", ""beginner""]"
vocab_0077,vocabulary,phishing_email,フィッシング・メール,lower_intermediate,user report,利用者報告,Please confirm the current user report.,"[""phishing_email"", ""lower_intermediate""]"
vocab_0078,vocabulary,phishing_email,フィッシング・メール,intermediate,credential harvesting,認証情報の窃取,We should document the credential harvesting clearly.,"[""phishing_email"", ""intermediate""]"
vocab_0079,vocabulary,phishing_email,フィッシング・メール,beginner,lookalike domain,類似ドメイン,We should document the lookalike domain clearly.,"[""phishing_email"", ""beginner""]"
vocab_0080,vocabulary,phishing_email,フィッシング・メール,lower_intermediate,typosquatting,タイポスクワッティング,This typosquatting requires follow-up by Friday.,"[""phishing_email"", ""lower_intermediate""]"
vocab_0081,vocabulary,phishing_email,フィッシング・メール,intermediate,DMARC,DMARC,This DMARC requires follow-up by Friday.,"[""phishing_email"", ""intermediate""]"
vocab_0082,vocabulary,phishing_email,フィッシング・メール,beginner,DKIM,DKIM,Please confirm the current DKIM.,"[""phishing_email"", ""beginner""]"
vocab_0083,vocabulary,phishing_email,フィッシング・メール,lower_intermediate,SPF,SPF,We need to review the SPF before the meeting.,"[""phishing_email"", ""lower_intermediate""]"
vocab_0084,vocabulary,phishing_email,フィッシング・メール,intermediate,mail flow rule,メールフロールール,This mail flow rule requires follow-up by Friday.,"[""phishing_email"", ""intermediate""]"
vocab_0085,vocabulary,phishing_email,フィッシング・メール,beginner,safe links,安全なリンク機能,We should document the safe links clearly.,"[""phishing_email"", ""beginner""]"
vocab_0086,vocabulary,phishing_email,フィッシング・メール,lower_intermediate,safe attachments,安全な添付ファイル機能,The safe attachments may affect the incident response plan.,"[""phishing_email"", ""lower_intermediate""]"
vocab_0087,vocabulary,phishing_email,フィッシング・メール,intermediate,campaign,キャンペーン,We need to review the campaign before the meeting.,"[""phishing_email"", ""intermediate""]"
vocab_0088,vocabulary,phishing_email,フィッシング・メール,beginner,takedown request,削除依頼,We need to review the takedown request before the meeting.,"[""phishing_email"", ""beginner""]"
vocab_0089,vocabulary,phishing_email,フィッシング・メール,lower_intermediate,awareness training,意識向上教育,We should document the awareness training clearly.,"[""phishing_email"", ""lower_intermediate""]"
vocab_0090,vocabulary,phishing_email,フィッシング・メール,intermediate,report phishing button,フィッシング報告ボタン,The security team is checking the report phishing button.,"[""phishing_email"", ""intermediate""]"
vocab_0091,vocabulary,malware_ransomware,マルウェア・ランサムウェア,beginner,malware,マルウェア,The security team is checking the malware.,"[""malware_ransomware"", ""beginner""]"
vocab_0092,vocabulary,malware_ransomware,マルウェア・ランサムウェア,lower_intermediate,ransomware,ランサムウェア,The security team is checking the ransomware.,"[""malware_ransomware"", ""lower_intermediate""]"
vocab_0093,vocabulary,malware_ransomware,マルウェア・ランサムウェア,intermediate,trojan,トロイの木馬,We should document the trojan clearly.,"[""malware_ransomware"", ""intermediate""]"
vocab_0094,vocabulary,malware_ransomware,マルウェア・ランサムウェア,beginner,worm,ワーム,Please confirm the current worm.,"[""malware_ransomware"", ""beginner""]"
vocab_0095,vocabulary,malware_ransomware,マルウェア・ランサムウェア,lower_intermediate,spyware,スパイウェア,The spyware may affect the incident response plan.,"[""malware_ransomware"", ""lower_intermediate""]"
vocab_0096,vocabulary,malware_ransomware,マルウェア・ランサムウェア,intermediate,keylogger,キーロガー,This keylogger requires follow-up by Friday.,"[""malware_ransomware"", ""intermediate""]"
vocab_0097,vocabulary,malware_ransomware,マルウェア・ランサムウェア,beginner,backdoor,バックドア,We should document the backdoor clearly.,"[""malware_ransomware"", ""beginner""]"
vocab_0098,vocabulary,malware_ransomware,マルウェア・ランサムウェア,lower_intermediate,payload,ペイロード,We need to review the payload before the meeting.,"[""malware_ransomware"", ""lower_intermediate""]"
vocab_0099,vocabulary,malware_ransomware,マルウェア・ランサムウェア,intermediate,dropper,ドロッパー,We need to review the dropper before the meeting.,"[""malware_ransomware"", ""intermediate""]"
vocab_0100,vocabulary,malware_ransomware,マルウェア・ランサムウェア,beginner,loader,ローダー,This loader requires follow-up by Friday.,"[""malware_ransomware"", ""beginner""]"
vocab_0101,vocabulary,malware_ransomware,マルウェア・ランサムウェア,lower_intermediate,command and control,C2,We should document the command and control clearly.,"[""malware_ransomware"", ""lower_intermediate""]"
vocab_0102,vocabulary,malware_ransomware,マルウェア・ランサムウェア,intermediate,C2 server,C2サーバー,We need to review the C2 server before the meeting.,"[""malware_ransomware"", ""intermediate""]"
vocab_0103,vocabulary,malware_ransomware,マルウェア・ランサムウェア,beginner,beaconing,ビーコン通信,The beaconing may affect the incident response plan.,"[""malware_ransomware"", ""beginner""]"
vocab_0104,vocabulary,malware_ransomware,マルウェア・ランサムウェア,lower_intermediate,lateral movement,横展開,The security team is checking the lateral movement.,"[""malware_ransomware"", ""lower_intermediate""]"
vocab_0105,vocabulary,malware_ransomware,マルウェア・ランサムウェア,intermediate,persistence,永続化,The security team is checking the persistence.,"[""malware_ransomware"", ""intermediate""]"
vocab_0106,vocabulary,malware_ransomware,マルウェア・ランサムウェア,beginner,privilege escalation,権限昇格,The privilege escalation may affect the incident response plan.,"[""malware_ransomware"", ""beginner""]"
vocab_0107,vocabulary,malware_ransomware,マルウェア・ランサムウェア,lower_intermediate,credential dumping,認証情報ダンプ,The security team is checking the credential dumping.,"[""malware_ransomware"", ""lower_intermediate""]"
vocab_0108,vocabulary,malware_ransomware,マルウェア・ランサムウェア,intermediate,data exfiltration,データ持ち出し,We need to review the data exfiltration before the meeting.,"[""malware_ransomware"", ""intermediate""]"
vocab_0109,vocabulary,malware_ransomware,マルウェア・ランサムウェア,beginner,ransom note,身代金要求文,Please confirm the current ransom note.,"[""malware_ransomware"", ""beginner""]"
vocab_0110,vocabulary,malware_ransomware,マルウェア・ランサムウェア,lower_intermediate,hash value,ハッシュ値,The hash value may affect the incident response plan.,"[""malware_ransomware"", ""lower_intermediate""]"
vocab_0111,vocabulary,malware_ransomware,マルウェア・ランサムウェア,intermediate,sandbox,サンドボックス,The security team is checking the sandbox.,"[""malware_ransomware"", ""intermediate""]"
vocab_0112,vocabulary,malware_ransomware,マルウェア・ランサムウェア,beginner,YARA rule,YARAルール,The security team is checking the YARA rule.,"[""malware_ransomware"", ""beginner""]"
vocab_0113,vocabulary,malware_ransomware,マルウェア・ランサムウェア,lower_intermediate,signature,シグネチャ,Please confirm the current signature.,"[""malware_ransomware"", ""lower_intermediate""]"
vocab_0114,vocabulary,malware_ransomware,マルウェア・ランサムウェア,intermediate,behavior analysis,振る舞い分析,This behavior analysis requires follow-up by Friday.,"[""malware_ransomware"", ""intermediate""]"
vocab_0115,vocabulary,malware_ransomware,マルウェア・ランサムウェア,beginner,process injection,プロセスインジェクション,We need to review the process injection before the meeting.,"[""malware_ransomware"", ""beginner""]"
vocab_0116,vocabulary,malware_ransomware,マルウェア・ランサムウェア,lower_intermediate,memory dump,メモリダンプ,The memory dump may affect the incident response plan.,"[""malware_ransomware"", ""lower_intermediate""]"
vocab_0117,vocabulary,malware_ransomware,マルウェア・ランサムウェア,intermediate,persistence mechanism,永続化メカニズム,The persistence mechanism may affect the incident response plan.,"[""malware_ransomware"", ""intermediate""]"
vocab_0118,vocabulary,malware_ransomware,マルウェア・ランサムウェア,beginner,malware family,マルウェアファミリー,This malware family requires follow-up by Friday.,"[""malware_ransomware"", ""beginner""]"
vocab_0119,vocabulary,malware_ransomware,マルウェア・ランサムウェア,lower_intermediate,reverse engineering,リバースエンジニアリング,This reverse engineering requires follow-up by Friday.,"[""malware_ransomware"", ""lower_intermediate""]"
vocab_0120,vocabulary,malware_ransomware,マルウェア・ランサムウェア,intermediate,encryption routine,暗号化処理,Please confirm the current encryption routine.,"[""malware_ransomware"", ""intermediate""]"
vocab_0121,vocabulary,vulnerability_patch,脆弱性・パッチ,beginner,patch,パッチ,The security team is checking the patch.,"[""vulnerability_patch"", ""beginner""]"
vocab_0122,vocabulary,vulnerability_patch,脆弱性・パッチ,lower_intermediate,patch management,パッチ管理,We should document the patch management clearly.,"[""vulnerability_patch"", ""lower_intermediate""]"
vocab_0123,vocabulary,vulnerability_patch,脆弱性・パッチ,intermediate,security update,セキュリティ更新,The security team is checking the security update.,"[""vulnerability_patch"", ""intermediate""]"
vocab_0124,vocabulary,vulnerability_patch,脆弱性・パッチ,beginner,zero-day vulnerability,ゼロデイ脆弱性,This zero-day vulnerability requires follow-up by Friday.,"[""vulnerability_patch"", ""beginner""]"
vocab_0125,vocabulary,vulnerability_patch,脆弱性・パッチ,lower_intermediate,known exploited vulnerability,既知悪用脆弱性,We should document the known exploited vulnerability clearly.,"[""vulnerability_patch"", ""lower_intermediate""]"
vocab_0126,vocabulary,vulnerability_patch,脆弱性・パッチ,intermediate,CVE,CVE,The security team is checking the CVE.,"[""vulnerability_patch"", ""intermediate""]"
vocab_0127,vocabulary,vulnerability_patch,脆弱性・パッチ,beginner,CVSS score,CVSSスコア,The security team is checking the CVSS score.,"[""vulnerability_patch"", ""beginner""]"
vocab_0128,vocabulary,vulnerability_patch,脆弱性・パッチ,lower_intermediate,proof of concept,概念実証コード,This proof of concept requires follow-up by Friday.,"[""vulnerability_patch"", ""lower_intermediate""]"
vocab_0129,vocabulary,vulnerability_patch,脆弱性・パッチ,intermediate,exploit code,攻撃コード,Please confirm the current exploit code.,"[""vulnerability_patch"", ""intermediate""]"
vocab_0130,vocabulary,vulnerability_patch,脆弱性・パッチ,beginner,remediation,是正,We should document the remediation clearly.,"[""vulnerability_patch"", ""beginner""]"
vocab_0131,vocabulary,vulnerability_patch,脆弱性・パッチ,lower_intermediate,workaround,回避策,We should document the workaround clearly.,"[""vulnerability_patch"", ""lower_intermediate""]"
vocab_0132,vocabulary,vulnerability_patch,脆弱性・パッチ,intermediate,configuration issue,設定不備,This configuration issue requires follow-up by Friday.,"[""vulnerability_patch"", ""intermediate""]"
vocab_0133,vocabulary,vulnerability_patch,脆弱性・パッチ,beginner,misconfiguration,誤設定,We need to review the misconfiguration before the meeting.,"[""vulnerability_patch"", ""beginner""]"
vocab_0134,vocabulary,vulnerability_patch,脆弱性・パッチ,lower_intermediate,unsupported system,サポート終了システム,The security team is checking the unsupported system.,"[""vulnerability_patch"", ""lower_intermediate""]"
vocab_0135,vocabulary,vulnerability_patch,脆弱性・パッチ,intermediate,end of life,サポート終了,Please confirm the current end of life.,"[""vulnerability_patch"", ""intermediate""]"
vocab_0136,vocabulary,vulnerability_patch,脆弱性・パッチ,beginner,vulnerability scan,脆弱性スキャン,We need to review the vulnerability scan before the meeting.,"[""vulnerability_patch"", ""beginner""]"
vocab_0137,vocabulary,vulnerability_patch,脆弱性・パッチ,lower_intermediate,authenticated scan,認証付きスキャン,This authenticated scan requires follow-up by Friday.,"[""vulnerability_patch"", ""lower_intermediate""]"
vocab_0138,vocabulary,vulnerability_patch,脆弱性・パッチ,intermediate,penetration test,侵入テスト,We need to review the penetration test before the meeting.,"[""vulnerability_patch"", ""intermediate""]"
vocab_0139,vocabulary,vulnerability_patch,脆弱性・パッチ,beginner,false positive,誤検知,This false positive requires follow-up by Friday.,"[""vulnerability_patch"", ""beginner""]"
vocab_0140,vocabulary,vulnerability_patch,脆弱性・パッチ,lower_intermediate,false negative,検知漏れ,We need to review the false negative before the meeting.,"[""vulnerability_patch"", ""lower_intermediate""]"
vocab_0141,vocabulary,vulnerability_patch,脆弱性・パッチ,intermediate,exception request,例外申請,The exception request may affect the incident response plan.,"[""vulnerability_patch"", ""intermediate""]"
vocab_0142,vocabulary,vulnerability_patch,脆弱性・パッチ,beginner,maintenance window,メンテナンス時間,Please confirm the current maintenance window.,"[""vulnerability_patch"", ""beginner""]"
vocab_0143,vocabulary,vulnerability_patch,脆弱性・パッチ,lower_intermediate,rollback plan,切り戻し計画,Please confirm the current rollback plan.,"[""vulnerability_patch"", ""lower_intermediate""]"
vocab_0144,vocabulary,vulnerability_patch,脆弱性・パッチ,intermediate,change approval,変更承認,We should document the change approval clearly.,"[""vulnerability_patch"", ""intermediate""]"
vocab_0145,vocabulary,vulnerability_patch,脆弱性・パッチ,beginner,emergency change,緊急変更,Please confirm the current emergency change.,"[""vulnerability_patch"", ""beginner""]"
vocab_0146,vocabulary,vulnerability_patch,脆弱性・パッチ,lower_intermediate,configuration drift,設定ドリフト,The security team is checking the configuration drift.,"[""vulnerability_patch"", ""lower_intermediate""]"
vocab_0147,vocabulary,vulnerability_patch,脆弱性・パッチ,intermediate,secure configuration,安全な設定,This secure configuration requires follow-up by Friday.,"[""vulnerability_patch"", ""intermediate""]"
vocab_0148,vocabulary,vulnerability_patch,脆弱性・パッチ,beginner,hardening,ハードニング,We need to review the hardening before the meeting.,"[""vulnerability_patch"", ""beginner""]"
vocab_0149,vocabulary,vulnerability_patch,脆弱性・パッチ,lower_intermediate,attack path,攻撃経路,Please confirm the current attack path.,"[""vulnerability_patch"", ""lower_intermediate""]"
vocab_0150,vocabulary,vulnerability_patch,脆弱性・パッチ,intermediate,remediation plan,是正計画,We need to review the remediation plan before the meeting.,"[""vulnerability_patch"", ""intermediate""]"
vocab_0151,vocabulary,iam_access,認証・アクセス管理,beginner,authentication,認証,We need to review the authentication before the meeting.,"[""iam_access"", ""beginner""]"
vocab_0152,vocabulary,iam_access,認証・アクセス管理,lower_intermediate,authorization,認可,The authorization may affect the incident response plan.,"[""iam_access"", ""lower_intermediate""]"
vocab_0153,vocabulary,iam_access,認証・アクセス管理,intermediate,multi-factor authentication,多要素認証,The security team is checking the multi-factor authentication.,"[""iam_access"", ""intermediate""]"
vocab_0154,vocabulary,iam_access,認証・アクセス管理,beginner,single sign-on,シングルサインオン,The single sign-on may affect the incident response plan.,"[""iam_access"", ""beginner""]"
vocab_0155,vocabulary,iam_access,認証・アクセス管理,lower_intermediate,identity provider,IDプロバイダー,We need to review the identity provider before the meeting.,"[""iam_access"", ""lower_intermediate""]"
vocab_0156,vocabulary,iam_access,認証・アクセス管理,intermediate,privileged account,特権アカウント,This privileged account requires follow-up by Friday.,"[""iam_access"", ""intermediate""]"
vocab_0157,vocabulary,iam_access,認証・アクセス管理,beginner,privileged access management,特権アクセス管理,This privileged access management requires follow-up by Friday.,"[""iam_access"", ""beginner""]"
vocab_0158,vocabulary,iam_access,認証・アクセス管理,lower_intermediate,least privilege,最小権限,This least privilege requires follow-up by Friday.,"[""iam_access"", ""lower_intermediate""]"
vocab_0159,vocabulary,iam_access,認証・アクセス管理,intermediate,role-based access control,ロールベースアクセス制御,This role-based access control requires follow-up by Friday.,"[""iam_access"", ""intermediate""]"
vocab_0160,vocabulary,iam_access,認証・アクセス管理,beginner,attribute-based access control,属性ベースアクセス制御,We should document the attribute-based access control clearly.,"[""iam_access"", ""beginner""]"
vocab_0161,vocabulary,iam_access,認証・アクセス管理,lower_intermediate,access review,アクセス権レビュー,We need to review the access review before the meeting.,"[""iam_access"", ""lower_intermediate""]"
vocab_0162,vocabulary,iam_access,認証・アクセス管理,intermediate,account lockout,アカウントロック,We should document the account lockout clearly.,"[""iam_access"", ""intermediate""]"
vocab_0163,vocabulary,iam_access,認証・アクセス管理,beginner,password reset,パスワードリセット,The password reset may affect the incident response plan.,"[""iam_access"", ""beginner""]"
vocab_0164,vocabulary,iam_access,認証・アクセス管理,lower_intermediate,credential,認証情報,Please confirm the current credential.,"[""iam_access"", ""lower_intermediate""]"
vocab_0165,vocabulary,iam_access,認証・アクセス管理,intermediate,service account,サービスアカウント,This service account requires follow-up by Friday.,"[""iam_access"", ""intermediate""]"
vocab_0166,vocabulary,iam_access,認証・アクセス管理,beginner,inactive account,休眠アカウント,The security team is checking the inactive account.,"[""iam_access"", ""beginner""]"
vocab_0167,vocabulary,iam_access,認証・アクセス管理,lower_intermediate,orphaned account,孤立アカウント,Please confirm the current orphaned account.,"[""iam_access"", ""lower_intermediate""]"
