id,type,category,level,sentence_en,correct_ja,choices_ja,chatgpt_prompt
listening_0014,listening,security_meeting,lower_intermediate,Is this based on confirmed evidence or an assumption?,これは確認済みの証拠に基づいていますか、それとも推測ですか。,"[""これは確認済みの証拠に基づいていますか、それとも推測ですか。"", ""ログを確認し、午後3時までに報告してもらえますか。"", ""メールゲートウェイ が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: Is this based on confirmed evidence or an assumption?"
listening_0015,listening,security_meeting,intermediate,We detected a suspicious login at 8:40 this morning.,今朝8時40分に不審なログインを検知しました。,"[""今朝8時40分に不審なログインを検知しました。"", ""この対応を担当できるのは誰ですか。"", ""クラウドストレージバケット が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: We detected a suspicious login at 8:40 this morning."
listening_0016,listening,security_meeting,beginner,"At this point, the impact appears to be limited.",現時点では影響は限定的に見えます。,"[""現時点では影響は限定的に見えます。"", ""会議後にインシデントの時系列を共有してください。"", ""ファイアウォールルール が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: At this point, the impact appears to be limited."
listening_0017,listening,security_meeting,lower_intermediate,The investigation is still in progress.,調査はまだ進行中です。,"[""調査はまだ進行中です。"", ""是正期限を確認していただけますか。"", ""脆弱性スキャン結果 が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The investigation is still in progress."
listening_0018,listening,security_meeting,intermediate,We have isolated the affected endpoint.,影響を受けた端末を隔離しました。,"[""影響を受けた端末を隔離しました。"", ""影響範囲が拡大した場合は直ちにエスカレーションしてください。"", ""インシデントの時系列 が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: We have isolated the affected endpoint."
listening_0019,listening,security_meeting,beginner,The affected account has been disabled.,影響を受けたアカウントを無効化しました。,"[""影響を受けたアカウントを無効化しました。"", ""正午までに進捗を報告できます。"", ""ベンダー回答 が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: The affected account has been disabled."
listening_0020,listening,security_meeting,lower_intermediate,We found no evidence of data exfiltration so far.,今のところデータ持ち出しの証拠は見つかっていません。,"[""今のところデータ持ち出しの証拠は見つかっていません。"", ""簡単な状況報告から始めましょう。"", ""アクセス権レビュー が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: We found no evidence of data exfiltration so far."
listening_0021,listening,security_meeting,intermediate,I suggest isolating the device first.,まず端末を隔離することを提案します。,"[""まず端末を隔離することを提案します。"", ""本日は封じ込め計画を決定する必要があります。"", ""バックアップ状態 が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: I suggest isolating the device first."
listening_0022,listening,security_meeting,beginner,We should reset the affected passwords immediately.,影響を受けたパスワードを直ちにリセットすべきです。,"[""影響を受けたパスワードを直ちにリセットすべきです。"", ""当面のリスクに集中できますか。"", ""復旧計画 が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: We should reset the affected passwords immediately."
listening_0023,listening,security_meeting,lower_intermediate,I recommend blocking the sender and the domain.,送信者とドメインをブロックすることを推奨します。,"[""送信者とドメインをブロックすることを推奨します。"", ""決定事項と対応事項をまとめましょう。"", ""法的要件 が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: I recommend blocking the sender and the domain."
listening_0024,listening,security_meeting,intermediate,Our first priority should be containment.,最優先は封じ込めにすべきです。,"[""最優先は封じ込めにすべきです。"", ""期限は金曜日の正午です。"", ""監査証跡 が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: Our first priority should be containment."
listening_0025,listening,security_meeting,beginner,We should preserve the logs before making changes.,変更前にログを保全すべきです。,"[""変更前にログを保全すべきです。"", ""ありがとうございます。間もなく議事録を送ります。"", ""監視ルール が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: We should preserve the logs before making changes."
listening_0026,listening,security_meeting,lower_intermediate,I recommend increasing monitoring for seven days.,7日間監視を強化することを推奨します。,"[""7日間監視を強化することを推奨します。"", ""事業への影響は現在限定的です。"", ""影響を受けた端末 が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: I recommend increasing monitoring for seven days."
listening_0027,listening,security_meeting,intermediate,I agree with the proposed approach.,提案された方法に賛成です。,"[""提案された方法に賛成です。"", ""顧客向けサービスは引き続き利用可能です。"", ""パッチ適用スケジュール が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: I agree with the proposed approach."
listening_0028,listening,security_meeting,beginner,That makes sense to me.,それは妥当だと思います。,"[""それは妥当だと思います。"", ""差し迫った脅威は封じ込めました。"", ""特権アカウント が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: That makes sense to me."
listening_0029,listening,security_meeting,lower_intermediate,"I see your point, but we need more evidence.",おっしゃることは分かりますが、さらに証拠が必要です。,"[""おっしゃることは分かりますが、さらに証拠が必要です。"", ""現時点で確認されたデータ侵害はありません。"", ""不審なドメイン が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: I see your point, but we need more evidence."
listening_0030,listening,security_meeting,intermediate,I have a slightly different view.,少し異なる意見があります。,"[""少し異なる意見があります。"", ""予防的な措置を講じています。"", ""DDoS対策状況 が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: I have a slightly different view."
listening_0031,listening,security_meeting,beginner,I am concerned about the operational impact.,運用影響を懸念しています。,"[""運用影響を懸念しています。"", ""緊急メンテナンス時間の承認が必要です。"", ""サービス影響 が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: I am concerned about the operational impact."
listening_0032,listening,security_meeting,lower_intermediate,"Before we decide, could we review the evidence?",決定前に証拠を確認できますか。,"[""決定前に証拠を確認できますか。"", ""影響を受ける製品バージョンを確認していただけますか。"", ""判断前に 利用者アカウント を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: Before we decide, could we review the evidence?"
listening_0033,listening,security_meeting,intermediate,Could you check the logs and report back by 3 p.m.?,ログを確認し、午後3時までに報告してもらえますか。,"[""ログを確認し、午後3時までに報告してもらえますか。"", ""修正版はいつ利用可能になりますか。"", ""判断前に 顧客データ を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: Could you check the logs and report back by 3 p.m.?"
listening_0034,listening,security_meeting,beginner,Who can take ownership of this action?,この対応を担当できるのは誰ですか。,"[""この対応を担当できるのは誰ですか。"", ""暫定的な回避策はありますか。"", ""判断前に 本番サーバー を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: Who can take ownership of this action?"
listening_0035,listening,security_meeting,lower_intermediate,Please share the incident timeline after the meeting.,会議後にインシデントの時系列を共有してください。,"[""会議後にインシデントの時系列を共有してください。"", ""調査結果を書面で提供してください。"", ""判断前に VPNサービス を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: Please share the incident timeline after the meeting."
listening_0036,listening,security_meeting,intermediate,Can you confirm the remediation deadline?,是正期限を確認していただけますか。,"[""是正期限を確認していただけますか。"", ""本日の緊急電話会議に参加できますか。"", ""判断前に メールゲートウェイ を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: Can you confirm the remediation deadline?"
listening_0037,listening,security_meeting,beginner,Please escalate immediately if the scope increases.,影響範囲が拡大した場合は直ちにエスカレーションしてください。,"[""影響範囲が拡大した場合は直ちにエスカレーションしてください。"", ""解決まで2時間ごとの更新が必要です。"", ""判断前に クラウドストレージバケット を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: Please escalate immediately if the scope increases."
listening_0038,listening,security_meeting,lower_intermediate,I can provide an update by noon.,正午までに進捗を報告できます。,"[""正午までに進捗を報告できます。"", ""利用者アカウント が影響を受けているか確認していただけますか。"", ""判断前に ファイアウォールルール を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: I can provide an update by noon."
listening_0039,listening,security_meeting,intermediate,Let's start with a quick status update.,簡単な状況報告から始めましょう。,"[""簡単な状況報告から始めましょう。"", ""顧客データ が影響を受けているか確認していただけますか。"", ""判断前に 脆弱性スキャン結果 を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: Let's start with a quick status update."
listening_0040,listening,security_meeting,beginner,"Today, we need to decide on the containment plan.",本日は封じ込め計画を決定する必要があります。,"[""本日は封じ込め計画を決定する必要があります。"", ""本番サーバー が影響を受けているか確認していただけますか。"", ""判断前に インシデントの時系列 を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: Today, we need to decide on the containment plan."
listening_0041,listening,security_meeting,lower_intermediate,Could we stay focused on the immediate risk?,当面のリスクに集中できますか。,"[""当面のリスクに集中できますか。"", ""VPNサービス が影響を受けているか確認していただけますか。"", ""判断前に ベンダー回答 を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: Could we stay focused on the immediate risk?"
listening_0042,listening,security_meeting,intermediate,Let's summarize the decisions and action items.,決定事項と対応事項をまとめましょう。,"[""決定事項と対応事項をまとめましょう。"", ""メールゲートウェイ が影響を受けているか確認していただけますか。"", ""判断前に アクセス権レビュー を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: Let's summarize the decisions and action items."
listening_0043,listening,security_meeting,beginner,The deadline is Friday at noon.,期限は金曜日の正午です。,"[""期限は金曜日の正午です。"", ""クラウドストレージバケット が影響を受けているか確認していただけますか。"", ""判断前に バックアップ状態 を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: The deadline is Friday at noon."
listening_0044,listening,security_meeting,lower_intermediate,Thank you. I will send the meeting notes shortly.,ありがとうございます。間もなく議事録を送ります。,"[""ありがとうございます。間もなく議事録を送ります。"", ""ファイアウォールルール が影響を受けているか確認していただけますか。"", ""判断前に 復旧計画 を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: Thank you. I will send the meeting notes shortly."
listening_0045,listening,security_meeting,intermediate,The business impact is currently limited.,事業への影響は現在限定的です。,"[""事業への影響は現在限定的です。"", ""脆弱性スキャン結果 が影響を受けているか確認していただけますか。"", ""判断前に 法的要件 を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: The business impact is currently limited."
listening_0046,listening,security_meeting,beginner,Customer-facing services remain available.,顧客向けサービスは引き続き利用可能です。,"[""顧客向けサービスは引き続き利用可能です。"", ""インシデントの時系列 が影響を受けているか確認していただけますか。"", ""判断前に 監査証跡 を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: Customer-facing services remain available."
listening_0047,listening,security_meeting,lower_intermediate,We have contained the immediate threat.,差し迫った脅威は封じ込めました。,"[""差し迫った脅威は封じ込めました。"", ""ベンダー回答 が影響を受けているか確認していただけますか。"", ""判断前に 監視ルール を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: We have contained the immediate threat."
listening_0048,listening,security_meeting,intermediate,There is no confirmed data breach at this time.,現時点で確認されたデータ侵害はありません。,"[""現時点で確認されたデータ侵害はありません。"", ""アクセス権レビュー が影響を受けているか確認していただけますか。"", ""判断前に 影響を受けた端末 を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: There is no confirmed data breach at this time."
listening_0049,listening,security_meeting,beginner,We are taking precautionary measures.,予防的な措置を講じています。,"[""予防的な措置を講じています。"", ""バックアップ状態 が影響を受けているか確認していただけますか。"", ""判断前に パッチ適用スケジュール を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: We are taking precautionary measures."
listening_0050,listening,security_meeting,lower_intermediate,We need approval for the emergency maintenance window.,緊急メンテナンス時間の承認が必要です。,"[""緊急メンテナンス時間の承認が必要です。"", ""復旧計画 が影響を受けているか確認していただけますか。"", ""判断前に 特権アカウント を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: We need approval for the emergency maintenance window."
listening_0051,listening,security_meeting,intermediate,Could you confirm the affected product versions?,影響を受ける製品バージョンを確認していただけますか。,"[""影響を受ける製品バージョンを確認していただけますか。"", ""法的要件 が影響を受けているか確認していただけますか。"", ""判断前に 不審なドメイン を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm the affected product versions?"
listening_0052,listening,security_meeting,beginner,When will the fixed version be available?,修正版はいつ利用可能になりますか。,"[""修正版はいつ利用可能になりますか。"", ""監査証跡 が影響を受けているか確認していただけますか。"", ""判断前に DDoS対策状況 を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: When will the fixed version be available?"
listening_0053,listening,security_meeting,lower_intermediate,Do you have a temporary workaround?,暫定的な回避策はありますか。,"[""暫定的な回避策はありますか。"", ""監視ルール が影響を受けているか確認していただけますか。"", ""判断前に サービス影響 を確認する必要があります。""]","Read this sentence slowly first, then at normal meeting speed: Do you have a temporary workaround?"
listening_0054,listening,security_meeting,intermediate,Please provide your findings in writing.,調査結果を書面で提供してください。,"[""調査結果を書面で提供してください。"", ""影響を受けた端末 が影響を受けているか確認していただけますか。"", ""次のステップとして 利用者アカウント の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Please provide your findings in writing."
listening_0055,listening,security_meeting,beginner,Can you join the bridge call today?,本日の緊急電話会議に参加できますか。,"[""本日の緊急電話会議に参加できますか。"", ""パッチ適用スケジュール が影響を受けているか確認していただけますか。"", ""次のステップとして 顧客データ の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Can you join the bridge call today?"
listening_0056,listening,security_meeting,lower_intermediate,We need an update every two hours until resolution.,解決まで2時間ごとの更新が必要です。,"[""解決まで2時間ごとの更新が必要です。"", ""特権アカウント が影響を受けているか確認していただけますか。"", ""次のステップとして 本番サーバー の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: We need an update every two hours until resolution."
listening_0057,listening,security_meeting,intermediate,Could you confirm whether user accounts is affected?,利用者アカウント が影響を受けているか確認していただけますか。,"[""利用者アカウント が影響を受けているか確認していただけますか。"", ""不審なドメイン が影響を受けているか確認していただけますか。"", ""次のステップとして VPNサービス の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether user accounts is affected?"
listening_0058,listening,security_meeting,beginner,Could you confirm whether customer data is affected?,顧客データ が影響を受けているか確認していただけますか。,"[""顧客データ が影響を受けているか確認していただけますか。"", ""DDoS対策状況 が影響を受けているか確認していただけますか。"", ""次のステップとして メールゲートウェイ の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether customer data is affected?"
listening_0059,listening,security_meeting,lower_intermediate,Could you confirm whether the production server is affected?,本番サーバー が影響を受けているか確認していただけますか。,"[""本番サーバー が影響を受けているか確認していただけますか。"", ""サービス影響 が影響を受けているか確認していただけますか。"", ""次のステップとして クラウドストレージバケット の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the production server is affected?"
listening_0060,listening,security_meeting,intermediate,Could you confirm whether the VPN service is affected?,VPNサービス が影響を受けているか確認していただけますか。,"[""VPNサービス が影響を受けているか確認していただけますか。"", ""判断前に 利用者アカウント を確認する必要があります。"", ""次のステップとして ファイアウォールルール の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the VPN service is affected?"
listening_0061,listening,security_meeting,beginner,Could you confirm whether the email gateway is affected?,メールゲートウェイ が影響を受けているか確認していただけますか。,"[""メールゲートウェイ が影響を受けているか確認していただけますか。"", ""判断前に 顧客データ を確認する必要があります。"", ""次のステップとして 脆弱性スキャン結果 の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the email gateway is affected?"
listening_0062,listening,security_meeting,lower_intermediate,Could you confirm whether the cloud storage bucket is affected?,クラウドストレージバケット が影響を受けているか確認していただけますか。,"[""クラウドストレージバケット が影響を受けているか確認していただけますか。"", ""判断前に 本番サーバー を確認する必要があります。"", ""次のステップとして インシデントの時系列 の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the cloud storage bucket is affected?"
listening_0063,listening,security_meeting,intermediate,Could you confirm whether the firewall rule is affected?,ファイアウォールルール が影響を受けているか確認していただけますか。,"[""ファイアウォールルール が影響を受けているか確認していただけますか。"", ""判断前に VPNサービス を確認する必要があります。"", ""次のステップとして ベンダー回答 の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the firewall rule is affected?"
listening_0064,listening,security_meeting,beginner,Could you confirm whether the vulnerability scan result is affected?,脆弱性スキャン結果 が影響を受けているか確認していただけますか。,"[""脆弱性スキャン結果 が影響を受けているか確認していただけますか。"", ""判断前に メールゲートウェイ を確認する必要があります。"", ""次のステップとして アクセス権レビュー の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the vulnerability scan result is affected?"
listening_0065,listening,security_meeting,lower_intermediate,Could you confirm whether the incident timeline is affected?,インシデントの時系列 が影響を受けているか確認していただけますか。,"[""インシデントの時系列 が影響を受けているか確認していただけますか。"", ""判断前に クラウドストレージバケット を確認する必要があります。"", ""次のステップとして バックアップ状態 の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the incident timeline is affected?"
listening_0066,listening,security_meeting,intermediate,Could you confirm whether the vendor response is affected?,ベンダー回答 が影響を受けているか確認していただけますか。,"[""ベンダー回答 が影響を受けているか確認していただけますか。"", ""判断前に ファイアウォールルール を確認する必要があります。"", ""次のステップとして 復旧計画 の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the vendor response is affected?"
listening_0067,listening,security_meeting,beginner,Could you confirm whether the access review is affected?,アクセス権レビュー が影響を受けているか確認していただけますか。,"[""アクセス権レビュー が影響を受けているか確認していただけますか。"", ""判断前に 脆弱性スキャン結果 を確認する必要があります。"", ""次のステップとして 法的要件 の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the access review is affected?"
listening_0068,listening,security_meeting,lower_intermediate,Could you confirm whether the backup status is affected?,バックアップ状態 が影響を受けているか確認していただけますか。,"[""バックアップ状態 が影響を受けているか確認していただけますか。"", ""判断前に インシデントの時系列 を確認する必要があります。"", ""次のステップとして 監査証跡 の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the backup status is affected?"
listening_0069,listening,security_meeting,intermediate,Could you confirm whether the recovery plan is affected?,復旧計画 が影響を受けているか確認していただけますか。,"[""復旧計画 が影響を受けているか確認していただけますか。"", ""判断前に ベンダー回答 を確認する必要があります。"", ""次のステップとして 監視ルール の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the recovery plan is affected?"
listening_0070,listening,security_meeting,beginner,Could you confirm whether the legal requirement is affected?,法的要件 が影響を受けているか確認していただけますか。,"[""法的要件 が影響を受けているか確認していただけますか。"", ""判断前に アクセス権レビュー を確認する必要があります。"", ""次のステップとして 影響を受けた端末 の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the legal requirement is affected?"
listening_0071,listening,security_meeting,lower_intermediate,Could you confirm whether the audit evidence is affected?,監査証跡 が影響を受けているか確認していただけますか。,"[""監査証跡 が影響を受けているか確認していただけますか。"", ""判断前に バックアップ状態 を確認する必要があります。"", ""次のステップとして パッチ適用スケジュール の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the audit evidence is affected?"
listening_0072,listening,security_meeting,intermediate,Could you confirm whether the monitoring rule is affected?,監視ルール が影響を受けているか確認していただけますか。,"[""監視ルール が影響を受けているか確認していただけますか。"", ""判断前に 復旧計画 を確認する必要があります。"", ""次のステップとして 特権アカウント の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the monitoring rule is affected?"
listening_0073,listening,security_meeting,beginner,Could you confirm whether the affected endpoint is affected?,影響を受けた端末 が影響を受けているか確認していただけますか。,"[""影響を受けた端末 が影響を受けているか確認していただけますか。"", ""判断前に 法的要件 を確認する必要があります。"", ""次のステップとして 不審なドメイン の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the affected endpoint is affected?"
listening_0074,listening,security_meeting,lower_intermediate,Could you confirm whether the patch schedule is affected?,パッチ適用スケジュール が影響を受けているか確認していただけますか。,"[""パッチ適用スケジュール が影響を受けているか確認していただけますか。"", ""判断前に 監査証跡 を確認する必要があります。"", ""次のステップとして DDoS対策状況 の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the patch schedule is affected?"
listening_0075,listening,security_meeting,intermediate,Could you confirm whether the privileged account is affected?,特権アカウント が影響を受けているか確認していただけますか。,"[""特権アカウント が影響を受けているか確認していただけますか。"", ""判断前に 監視ルール を確認する必要があります。"", ""次のステップとして サービス影響 の確認を推奨します。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the privileged account is affected?"
listening_0076,listening,security_meeting,beginner,Could you confirm whether the suspicious domain is affected?,不審なドメイン が影響を受けているか確認していただけますか。,"[""不審なドメイン が影響を受けているか確認していただけますか。"", ""判断前に 影響を受けた端末 を確認する必要があります。"", ""本日中に 利用者アカウント について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the suspicious domain is affected?"
listening_0077,listening,security_meeting,lower_intermediate,Could you confirm whether the DDoS mitigation status is affected?,DDoS対策状況 が影響を受けているか確認していただけますか。,"[""DDoS対策状況 が影響を受けているか確認していただけますか。"", ""判断前に パッチ適用スケジュール を確認する必要があります。"", ""本日中に 顧客データ について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the DDoS mitigation status is affected?"
listening_0078,listening,security_meeting,intermediate,Could you confirm whether the service impact is affected?,サービス影響 が影響を受けているか確認していただけますか。,"[""サービス影響 が影響を受けているか確認していただけますか。"", ""判断前に 特権アカウント を確認する必要があります。"", ""本日中に 本番サーバー について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: Could you confirm whether the service impact is affected?"
listening_0079,listening,security_meeting,beginner,We need to check user accounts before making a decision.,判断前に 利用者アカウント を確認する必要があります。,"[""判断前に 利用者アカウント を確認する必要があります。"", ""判断前に 不審なドメイン を確認する必要があります。"", ""本日中に VPNサービス について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check user accounts before making a decision."
listening_0080,listening,security_meeting,lower_intermediate,We need to check customer data before making a decision.,判断前に 顧客データ を確認する必要があります。,"[""判断前に 顧客データ を確認する必要があります。"", ""判断前に DDoS対策状況 を確認する必要があります。"", ""本日中に メールゲートウェイ について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check customer data before making a decision."
listening_0081,listening,security_meeting,intermediate,We need to check the production server before making a decision.,判断前に 本番サーバー を確認する必要があります。,"[""判断前に 本番サーバー を確認する必要があります。"", ""判断前に サービス影響 を確認する必要があります。"", ""本日中に クラウドストレージバケット について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the production server before making a decision."
listening_0082,listening,security_meeting,beginner,We need to check the VPN service before making a decision.,判断前に VPNサービス を確認する必要があります。,"[""判断前に VPNサービス を確認する必要があります。"", ""次のステップとして 利用者アカウント の確認を推奨します。"", ""本日中に ファイアウォールルール について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the VPN service before making a decision."
listening_0083,listening,security_meeting,lower_intermediate,We need to check the email gateway before making a decision.,判断前に メールゲートウェイ を確認する必要があります。,"[""判断前に メールゲートウェイ を確認する必要があります。"", ""次のステップとして 顧客データ の確認を推奨します。"", ""本日中に 脆弱性スキャン結果 について更新を送ってください。""]","Read this sentence slowly first, then at normal meeting speed: We need to check the email gateway before making a decision."
