id,type,function,level,sentence_en,meaning_ja,tags
phrase_0031,meeting_phrase,意見・賛成・反対,beginner,I am concerned about the operational impact.,運用影響を懸念しています。,"[""意見・賛成・反対"", ""beginner""]"
phrase_0032,meeting_phrase,意見・賛成・反対,lower_intermediate,"Before we decide, could we review the evidence?",決定前に証拠を確認できますか。,"[""意見・賛成・反対"", ""lower_intermediate""]"
phrase_0033,meeting_phrase,依頼・担当・期限,intermediate,Could you check the logs and report back by 3 p.m.?,ログを確認し、午後3時までに報告してもらえますか。,"[""依頼・担当・期限"", ""intermediate""]"
phrase_0034,meeting_phrase,依頼・担当・期限,beginner,Who can take ownership of this action?,この対応を担当できるのは誰ですか。,"[""依頼・担当・期限"", ""beginner""]"
phrase_0035,meeting_phrase,依頼・担当・期限,lower_intermediate,Please share the incident timeline after the meeting.,会議後にインシデントの時系列を共有してください。,"[""依頼・担当・期限"", ""lower_intermediate""]"
phrase_0036,meeting_phrase,依頼・担当・期限,intermediate,Can you confirm the remediation deadline?,是正期限を確認していただけますか。,"[""依頼・担当・期限"", ""intermediate""]"
phrase_0037,meeting_phrase,依頼・担当・期限,beginner,Please escalate immediately if the scope increases.,影響範囲が拡大した場合は直ちにエスカレーションしてください。,"[""依頼・担当・期限"", ""beginner""]"
phrase_0038,meeting_phrase,依頼・担当・期限,lower_intermediate,I can provide an update by noon.,正午までに進捗を報告できます。,"[""依頼・担当・期限"", ""lower_intermediate""]"
phrase_0039,meeting_phrase,会議進行・まとめ,intermediate,Let's start with a quick status update.,簡単な状況報告から始めましょう。,"[""会議進行・まとめ"", ""intermediate""]"
phrase_0040,meeting_phrase,会議進行・まとめ,beginner,"Today, we need to decide on the containment plan.",本日は封じ込め計画を決定する必要があります。,"[""会議進行・まとめ"", ""beginner""]"
phrase_0041,meeting_phrase,会議進行・まとめ,lower_intermediate,Could we stay focused on the immediate risk?,当面のリスクに集中できますか。,"[""会議進行・まとめ"", ""lower_intermediate""]"
phrase_0042,meeting_phrase,会議進行・まとめ,intermediate,Let's summarize the decisions and action items.,決定事項と対応事項をまとめましょう。,"[""会議進行・まとめ"", ""intermediate""]"
phrase_0043,meeting_phrase,会議進行・まとめ,beginner,The deadline is Friday at noon.,期限は金曜日の正午です。,"[""会議進行・まとめ"", ""beginner""]"
phrase_0044,meeting_phrase,会議進行・まとめ,lower_intermediate,Thank you. I will send the meeting notes shortly.,ありがとうございます。間もなく議事録を送ります。,"[""会議進行・まとめ"", ""lower_intermediate""]"
phrase_0045,meeting_phrase,経営層・非技術者向け説明,intermediate,The business impact is currently limited.,事業への影響は現在限定的です。,"[""経営層・非技術者向け説明"", ""intermediate""]"
phrase_0046,meeting_phrase,経営層・非技術者向け説明,beginner,Customer-facing services remain available.,顧客向けサービスは引き続き利用可能です。,"[""経営層・非技術者向け説明"", ""beginner""]"
phrase_0047,meeting_phrase,経営層・非技術者向け説明,lower_intermediate,We have contained the immediate threat.,差し迫った脅威は封じ込めました。,"[""経営層・非技術者向け説明"", ""lower_intermediate""]"
phrase_0048,meeting_phrase,経営層・非技術者向け説明,intermediate,There is no confirmed data breach at this time.,現時点で確認されたデータ侵害はありません。,"[""経営層・非技術者向け説明"", ""intermediate""]"
phrase_0049,meeting_phrase,経営層・非技術者向け説明,beginner,We are taking precautionary measures.,予防的な措置を講じています。,"[""経営層・非技術者向け説明"", ""beginner""]"
phrase_0050,meeting_phrase,経営層・非技術者向け説明,lower_intermediate,We need approval for the emergency maintenance window.,緊急メンテナンス時間の承認が必要です。,"[""経営層・非技術者向け説明"", ""lower_intermediate""]"
phrase_0051,meeting_phrase,ベンダー・外部調整,intermediate,Could you confirm the affected product versions?,影響を受ける製品バージョンを確認していただけますか。,"[""ベンダー・外部調整"", ""intermediate""]"
phrase_0052,meeting_phrase,ベンダー・外部調整,beginner,When will the fixed version be available?,修正版はいつ利用可能になりますか。,"[""ベンダー・外部調整"", ""beginner""]"
phrase_0053,meeting_phrase,ベンダー・外部調整,lower_intermediate,Do you have a temporary workaround?,暫定的な回避策はありますか。,"[""ベンダー・外部調整"", ""lower_intermediate""]"
phrase_0054,meeting_phrase,ベンダー・外部調整,intermediate,Please provide your findings in writing.,調査結果を書面で提供してください。,"[""ベンダー・外部調整"", ""intermediate""]"
phrase_0055,meeting_phrase,ベンダー・外部調整,beginner,Can you join the bridge call today?,本日の緊急電話会議に参加できますか。,"[""ベンダー・外部調整"", ""beginner""]"
phrase_0056,meeting_phrase,ベンダー・外部調整,lower_intermediate,We need an update every two hours until resolution.,解決まで2時間ごとの更新が必要です。,"[""ベンダー・外部調整"", ""lower_intermediate""]"
phrase_0057,meeting_phrase,確認・明確化,intermediate,Could you confirm whether user accounts is affected?,利用者アカウント が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""intermediate""]"
phrase_0058,meeting_phrase,確認・明確化,beginner,Could you confirm whether customer data is affected?,顧客データ が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""beginner""]"
phrase_0059,meeting_phrase,確認・明確化,lower_intermediate,Could you confirm whether the production server is affected?,本番サーバー が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""lower_intermediate""]"
phrase_0060,meeting_phrase,確認・明確化,intermediate,Could you confirm whether the VPN service is affected?,VPNサービス が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""intermediate""]"
phrase_0061,meeting_phrase,確認・明確化,beginner,Could you confirm whether the email gateway is affected?,メールゲートウェイ が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""beginner""]"
phrase_0062,meeting_phrase,確認・明確化,lower_intermediate,Could you confirm whether the cloud storage bucket is affected?,クラウドストレージバケット が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""lower_intermediate""]"
phrase_0063,meeting_phrase,確認・明確化,intermediate,Could you confirm whether the firewall rule is affected?,ファイアウォールルール が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""intermediate""]"
phrase_0064,meeting_phrase,確認・明確化,beginner,Could you confirm whether the vulnerability scan result is affected?,脆弱性スキャン結果 が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""beginner""]"
phrase_0065,meeting_phrase,確認・明確化,lower_intermediate,Could you confirm whether the incident timeline is affected?,インシデントの時系列 が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""lower_intermediate""]"
phrase_0066,meeting_phrase,確認・明確化,intermediate,Could you confirm whether the vendor response is affected?,ベンダー回答 が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""intermediate""]"
phrase_0067,meeting_phrase,確認・明確化,beginner,Could you confirm whether the access review is affected?,アクセス権レビュー が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""beginner""]"
phrase_0068,meeting_phrase,確認・明確化,lower_intermediate,Could you confirm whether the backup status is affected?,バックアップ状態 が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""lower_intermediate""]"
phrase_0069,meeting_phrase,確認・明確化,intermediate,Could you confirm whether the recovery plan is affected?,復旧計画 が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""intermediate""]"
phrase_0070,meeting_phrase,確認・明確化,beginner,Could you confirm whether the legal requirement is affected?,法的要件 が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""beginner""]"
phrase_0071,meeting_phrase,確認・明確化,lower_intermediate,Could you confirm whether the audit evidence is affected?,監査証跡 が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""lower_intermediate""]"
phrase_0072,meeting_phrase,確認・明確化,intermediate,Could you confirm whether the monitoring rule is affected?,監視ルール が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""intermediate""]"
phrase_0073,meeting_phrase,確認・明確化,beginner,Could you confirm whether the affected endpoint is affected?,影響を受けた端末 が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""beginner""]"
phrase_0074,meeting_phrase,確認・明確化,lower_intermediate,Could you confirm whether the patch schedule is affected?,パッチ適用スケジュール が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""lower_intermediate""]"
phrase_0075,meeting_phrase,確認・明確化,intermediate,Could you confirm whether the privileged account is affected?,特権アカウント が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""intermediate""]"
phrase_0076,meeting_phrase,確認・明確化,beginner,Could you confirm whether the suspicious domain is affected?,不審なドメイン が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""beginner""]"
phrase_0077,meeting_phrase,確認・明確化,lower_intermediate,Could you confirm whether the DDoS mitigation status is affected?,DDoS対策状況 が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""lower_intermediate""]"
phrase_0078,meeting_phrase,確認・明確化,intermediate,Could you confirm whether the service impact is affected?,サービス影響 が影響を受けているか確認していただけますか。,"[""確認・明確化"", ""template"", ""intermediate""]"
phrase_0079,meeting_phrase,状況報告,beginner,We need to check user accounts before making a decision.,判断前に 利用者アカウント を確認する必要があります。,"[""状況報告"", ""template"", ""beginner""]"
phrase_0080,meeting_phrase,状況報告,lower_intermediate,We need to check customer data before making a decision.,判断前に 顧客データ を確認する必要があります。,"[""状況報告"", ""template"", ""lower_intermediate""]"
phrase_0081,meeting_phrase,状況報告,intermediate,We need to check the production server before making a decision.,判断前に 本番サーバー を確認する必要があります。,"[""状況報告"", ""template"", ""intermediate""]"
phrase_0082,meeting_phrase,状況報告,beginner,We need to check the VPN service before making a decision.,判断前に VPNサービス を確認する必要があります。,"[""状況報告"", ""template"", ""beginner""]"
phrase_0083,meeting_phrase,状況報告,lower_intermediate,We need to check the email gateway before making a decision.,判断前に メールゲートウェイ を確認する必要があります。,"[""状況報告"", ""template"", ""lower_intermediate""]"
phrase_0084,meeting_phrase,状況報告,intermediate,We need to check the cloud storage bucket before making a decision.,判断前に クラウドストレージバケット を確認する必要があります。,"[""状況報告"", ""template"", ""intermediate""]"
phrase_0085,meeting_phrase,状況報告,beginner,We need to check the firewall rule before making a decision.,判断前に ファイアウォールルール を確認する必要があります。,"[""状況報告"", ""template"", ""beginner""]"
phrase_0086,meeting_phrase,状況報告,lower_intermediate,We need to check the vulnerability scan result before making a decision.,判断前に 脆弱性スキャン結果 を確認する必要があります。,"[""状況報告"", ""template"", ""lower_intermediate""]"
phrase_0087,meeting_phrase,状況報告,intermediate,We need to check the incident timeline before making a decision.,判断前に インシデントの時系列 を確認する必要があります。,"[""状況報告"", ""template"", ""intermediate""]"
phrase_0088,meeting_phrase,状況報告,beginner,We need to check the vendor response before making a decision.,判断前に ベンダー回答 を確認する必要があります。,"[""状況報告"", ""template"", ""beginner""]"
phrase_0089,meeting_phrase,状況報告,lower_intermediate,We need to check the access review before making a decision.,判断前に アクセス権レビュー を確認する必要があります。,"[""状況報告"", ""template"", ""lower_intermediate""]"
phrase_0090,meeting_phrase,状況報告,intermediate,We need to check the backup status before making a decision.,判断前に バックアップ状態 を確認する必要があります。,"[""状況報告"", ""template"", ""intermediate""]"
phrase_0091,meeting_phrase,状況報告,beginner,We need to check the recovery plan before making a decision.,判断前に 復旧計画 を確認する必要があります。,"[""状況報告"", ""template"", ""beginner""]"
phrase_0092,meeting_phrase,状況報告,lower_intermediate,We need to check the legal requirement before making a decision.,判断前に 法的要件 を確認する必要があります。,"[""状況報告"", ""template"", ""lower_intermediate""]"
phrase_0093,meeting_phrase,状況報告,intermediate,We need to check the audit evidence before making a decision.,判断前に 監査証跡 を確認する必要があります。,"[""状況報告"", ""template"", ""intermediate""]"
phrase_0094,meeting_phrase,状況報告,beginner,We need to check the monitoring rule before making a decision.,判断前に 監視ルール を確認する必要があります。,"[""状況報告"", ""template"", ""beginner""]"
phrase_0095,meeting_phrase,状況報告,lower_intermediate,We need to check the affected endpoint before making a decision.,判断前に 影響を受けた端末 を確認する必要があります。,"[""状況報告"", ""template"", ""lower_intermediate""]"
phrase_0096,meeting_phrase,状況報告,intermediate,We need to check the patch schedule before making a decision.,判断前に パッチ適用スケジュール を確認する必要があります。,"[""状況報告"", ""template"", ""intermediate""]"
phrase_0097,meeting_phrase,状況報告,beginner,We need to check the privileged account before making a decision.,判断前に 特権アカウント を確認する必要があります。,"[""状況報告"", ""template"", ""beginner""]"
phrase_0098,meeting_phrase,状況報告,lower_intermediate,We need to check the suspicious domain before making a decision.,判断前に 不審なドメイン を確認する必要があります。,"[""状況報告"", ""template"", ""lower_intermediate""]"
phrase_0099,meeting_phrase,状況報告,intermediate,We need to check the DDoS mitigation status before making a decision.,判断前に DDoS対策状況 を確認する必要があります。,"[""状況報告"", ""template"", ""intermediate""]"
phrase_0100,meeting_phrase,状況報告,beginner,We need to check the service impact before making a decision.,判断前に サービス影響 を確認する必要があります。,"[""状況報告"", ""template"", ""beginner""]"
phrase_0101,meeting_phrase,提案・推奨,lower_intermediate,I recommend reviewing user accounts as the next step.,次のステップとして 利用者アカウント の確認を推奨します。,"[""提案・推奨"", ""template"", ""lower_intermediate""]"
phrase_0102,meeting_phrase,提案・推奨,intermediate,I recommend reviewing customer data as the next step.,次のステップとして 顧客データ の確認を推奨します。,"[""提案・推奨"", ""template"", ""intermediate""]"
phrase_0103,meeting_phrase,提案・推奨,beginner,I recommend reviewing the production server as the next step.,次のステップとして 本番サーバー の確認を推奨します。,"[""提案・推奨"", ""template"", ""beginner""]"
phrase_0104,meeting_phrase,提案・推奨,lower_intermediate,I recommend reviewing the VPN service as the next step.,次のステップとして VPNサービス の確認を推奨します。,"[""提案・推奨"", ""template"", ""lower_intermediate""]"
phrase_0105,meeting_phrase,提案・推奨,intermediate,I recommend reviewing the email gateway as the next step.,次のステップとして メールゲートウェイ の確認を推奨します。,"[""提案・推奨"", ""template"", ""intermediate""]"
phrase_0106,meeting_phrase,提案・推奨,beginner,I recommend reviewing the cloud storage bucket as the next step.,次のステップとして クラウドストレージバケット の確認を推奨します。,"[""提案・推奨"", ""template"", ""beginner""]"
phrase_0107,meeting_phrase,提案・推奨,lower_intermediate,I recommend reviewing the firewall rule as the next step.,次のステップとして ファイアウォールルール の確認を推奨します。,"[""提案・推奨"", ""template"", ""lower_intermediate""]"
phrase_0108,meeting_phrase,提案・推奨,intermediate,I recommend reviewing the vulnerability scan result as the next step.,次のステップとして 脆弱性スキャン結果 の確認を推奨します。,"[""提案・推奨"", ""template"", ""intermediate""]"
phrase_0109,meeting_phrase,提案・推奨,beginner,I recommend reviewing the incident timeline as the next step.,次のステップとして インシデントの時系列 の確認を推奨します。,"[""提案・推奨"", ""template"", ""beginner""]"
phrase_0110,meeting_phrase,提案・推奨,lower_intermediate,I recommend reviewing the vendor response as the next step.,次のステップとして ベンダー回答 の確認を推奨します。,"[""提案・推奨"", ""template"", ""lower_intermediate""]"
phrase_0111,meeting_phrase,提案・推奨,intermediate,I recommend reviewing the access review as the next step.,次のステップとして アクセス権レビュー の確認を推奨します。,"[""提案・推奨"", ""template"", ""intermediate""]"
phrase_0112,meeting_phrase,提案・推奨,beginner,I recommend reviewing the backup status as the next step.,次のステップとして バックアップ状態 の確認を推奨します。,"[""提案・推奨"", ""template"", ""beginner""]"
phrase_0113,meeting_phrase,提案・推奨,lower_intermediate,I recommend reviewing the recovery plan as the next step.,次のステップとして 復旧計画 の確認を推奨します。,"[""提案・推奨"", ""template"", ""lower_intermediate""]"
phrase_0114,meeting_phrase,提案・推奨,intermediate,I recommend reviewing the legal requirement as the next step.,次のステップとして 法的要件 の確認を推奨します。,"[""提案・推奨"", ""template"", ""intermediate""]"
phrase_0115,meeting_phrase,提案・推奨,beginner,I recommend reviewing the audit evidence as the next step.,次のステップとして 監査証跡 の確認を推奨します。,"[""提案・推奨"", ""template"", ""beginner""]"
phrase_0116,meeting_phrase,提案・推奨,lower_intermediate,I recommend reviewing the monitoring rule as the next step.,次のステップとして 監視ルール の確認を推奨します。,"[""提案・推奨"", ""template"", ""lower_intermediate""]"
phrase_0117,meeting_phrase,提案・推奨,intermediate,I recommend reviewing the affected endpoint as the next step.,次のステップとして 影響を受けた端末 の確認を推奨します。,"[""提案・推奨"", ""template"", ""intermediate""]"
phrase_0118,meeting_phrase,提案・推奨,beginner,I recommend reviewing the patch schedule as the next step.,次のステップとして パッチ適用スケジュール の確認を推奨します。,"[""提案・推奨"", ""template"", ""beginner""]"
phrase_0119,meeting_phrase,提案・推奨,lower_intermediate,I recommend reviewing the privileged account as the next step.,次のステップとして 特権アカウント の確認を推奨します。,"[""提案・推奨"", ""template"", ""lower_intermediate""]"
phrase_0120,meeting_phrase,提案・推奨,intermediate,I recommend reviewing the suspicious domain as the next step.,次のステップとして 不審なドメイン の確認を推奨します。,"[""提案・推奨"", ""template"", ""intermediate""]"
phrase_0121,meeting_phrase,提案・推奨,beginner,I recommend reviewing the DDoS mitigation status as the next step.,次のステップとして DDoS対策状況 の確認を推奨します。,"[""提案・推奨"", ""template"", ""beginner""]"
phrase_0122,meeting_phrase,提案・推奨,lower_intermediate,I recommend reviewing the service impact as the next step.,次のステップとして サービス影響 の確認を推奨します。,"[""提案・推奨"", ""template"", ""lower_intermediate""]"
phrase_0123,meeting_phrase,依頼・担当・期限,intermediate,Please send an update about user accounts by the end of the day.,本日中に 利用者アカウント について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""intermediate""]"
phrase_0124,meeting_phrase,依頼・担当・期限,beginner,Please send an update about customer data by the end of the day.,本日中に 顧客データ について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""beginner""]"
phrase_0125,meeting_phrase,依頼・担当・期限,lower_intermediate,Please send an update about the production server by the end of the day.,本日中に 本番サーバー について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""lower_intermediate""]"
phrase_0126,meeting_phrase,依頼・担当・期限,intermediate,Please send an update about the VPN service by the end of the day.,本日中に VPNサービス について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""intermediate""]"
phrase_0127,meeting_phrase,依頼・担当・期限,beginner,Please send an update about the email gateway by the end of the day.,本日中に メールゲートウェイ について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""beginner""]"
phrase_0128,meeting_phrase,依頼・担当・期限,lower_intermediate,Please send an update about the cloud storage bucket by the end of the day.,本日中に クラウドストレージバケット について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""lower_intermediate""]"
phrase_0129,meeting_phrase,依頼・担当・期限,intermediate,Please send an update about the firewall rule by the end of the day.,本日中に ファイアウォールルール について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""intermediate""]"
phrase_0130,meeting_phrase,依頼・担当・期限,beginner,Please send an update about the vulnerability scan result by the end of the day.,本日中に 脆弱性スキャン結果 について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""beginner""]"
phrase_0131,meeting_phrase,依頼・担当・期限,lower_intermediate,Please send an update about the incident timeline by the end of the day.,本日中に インシデントの時系列 について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""lower_intermediate""]"
phrase_0132,meeting_phrase,依頼・担当・期限,intermediate,Please send an update about the vendor response by the end of the day.,本日中に ベンダー回答 について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""intermediate""]"
phrase_0133,meeting_phrase,依頼・担当・期限,beginner,Please send an update about the access review by the end of the day.,本日中に アクセス権レビュー について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""beginner""]"
phrase_0134,meeting_phrase,依頼・担当・期限,lower_intermediate,Please send an update about the backup status by the end of the day.,本日中に バックアップ状態 について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""lower_intermediate""]"
phrase_0135,meeting_phrase,依頼・担当・期限,intermediate,Please send an update about the recovery plan by the end of the day.,本日中に 復旧計画 について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""intermediate""]"
phrase_0136,meeting_phrase,依頼・担当・期限,beginner,Please send an update about the legal requirement by the end of the day.,本日中に 法的要件 について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""beginner""]"
phrase_0137,meeting_phrase,依頼・担当・期限,lower_intermediate,Please send an update about the audit evidence by the end of the day.,本日中に 監査証跡 について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""lower_intermediate""]"
phrase_0138,meeting_phrase,依頼・担当・期限,intermediate,Please send an update about the monitoring rule by the end of the day.,本日中に 監視ルール について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""intermediate""]"
phrase_0139,meeting_phrase,依頼・担当・期限,beginner,Please send an update about the affected endpoint by the end of the day.,本日中に 影響を受けた端末 について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""beginner""]"
phrase_0140,meeting_phrase,依頼・担当・期限,lower_intermediate,Please send an update about the patch schedule by the end of the day.,本日中に パッチ適用スケジュール について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""lower_intermediate""]"
phrase_0141,meeting_phrase,依頼・担当・期限,intermediate,Please send an update about the privileged account by the end of the day.,本日中に 特権アカウント について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""intermediate""]"
phrase_0142,meeting_phrase,依頼・担当・期限,beginner,Please send an update about the suspicious domain by the end of the day.,本日中に 不審なドメイン について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""beginner""]"
phrase_0143,meeting_phrase,依頼・担当・期限,lower_intermediate,Please send an update about the DDoS mitigation status by the end of the day.,本日中に DDoS対策状況 について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""lower_intermediate""]"
phrase_0144,meeting_phrase,依頼・担当・期限,intermediate,Please send an update about the service impact by the end of the day.,本日中に サービス影響 について更新を送ってください。,"[""依頼・担当・期限"", ""template"", ""intermediate""]"
phrase_0145,meeting_phrase,意見・賛成・反対,beginner,The main concern is the impact on user accounts.,主な懸念は 利用者アカウント への影響です。,"[""意見・賛成・反対"", ""template"", ""beginner""]"
phrase_0146,meeting_phrase,意見・賛成・反対,lower_intermediate,The main concern is the impact on customer data.,主な懸念は 顧客データ への影響です。,"[""意見・賛成・反対"", ""template"", ""lower_intermediate""]"
phrase_0147,meeting_phrase,意見・賛成・反対,intermediate,The main concern is the impact on the production server.,主な懸念は 本番サーバー への影響です。,"[""意見・賛成・反対"", ""template"", ""intermediate""]"
phrase_0148,meeting_phrase,意見・賛成・反対,beginner,The main concern is the impact on the VPN service.,主な懸念は VPNサービス への影響です。,"[""意見・賛成・反対"", ""template"", ""beginner""]"
phrase_0149,meeting_phrase,意見・賛成・反対,lower_intermediate,The main concern is the impact on the email gateway.,主な懸念は メールゲートウェイ への影響です。,"[""意見・賛成・反対"", ""template"", ""lower_intermediate""]"
phrase_0150,meeting_phrase,意見・賛成・反対,intermediate,The main concern is the impact on the cloud storage bucket.,主な懸念は クラウドストレージバケット への影響です。,"[""意見・賛成・反対"", ""template"", ""intermediate""]"
